RT rt_NOUN_Masc_Sing
@SergioAdriani3 twitterhandle_NUM
: :
E e_CCONJ
vc vc_PROPN_Masc_Sing
escreve escrever_VERB_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
 "  "
genocida genocida_ADJ_Fem_Sing
 "  "
e e_CCONJ
nada nada_PRON_Masc_Sing
lhe ele_PRON_Masc_Sing
acontece acontecer_VERB_Fin_Sing
! !
Faz fazer_VERB_Fin_Sing
isso isso_PRON_Masc_Sing
na em_o_ADP_PRON_Fem_Sing
 "  "
democracia democracia_NOUN_Fem_Sing
 "  "
venezuelana venezuelano_ADJ_Fem_Sing
! !
