RT rt_PROPN_Masc_Sing
@Pattypschmidt twitterhandle_PROPN_Sing
: :
Hoje hoje_ADV
conheci conhecer_VERB_Fin_Sing
Denisse denisse_PROPN_Masc_Sing
. .
Uma um_NUM
das de_o_ADP_DET_Fem_Plur
muitas muito_DET_Fem_Plur
Venezuelanas venezuelanas_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
fugiram fugir_VERB_Fin_Plur
da de_o_ADP_DET_Fem_Sing
ditadura ditadura_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
amigos amigo_NOUN_Masc_Plur
de de_ADP
Lula lula_PROPN_Masc_Sing
. .
Casada casar_VERB_Part_Fem_Sing
com com_ADP
3 3_NUM
filhos filho_NOUN_Masc_Plur
veio vir_AUX_Fin_Sing
… …
