RT rt_PROPN_Masc_Sing
@Hays88Smith twitterhandle_PROPN_Sing
: :
O o_DET_Masc_Sing
que que_PRON_Rel_Masc_Sing
eu eu_PRON_Sing
acho achar_VERB_Fin_Sing
que que_SCONJ
acontecerá acontecer_VERB_Fin_Sing
: :
o o_DET_Masc_Sing
chefão chefe_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
narcotráfico narcotráfico_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
abrirá abrir_VERB_Fin_Sing
o o_DET_Masc_Sing
bico bico_NOUN_Masc_Sing
nos em_o_ADP_DET_Masc_Plur
EUA eua_PROPN_Masc_Plur
e e_CCONJ
mandados mandado_NOUN_Masc_Plur
de de_ADP
captura captura_NOUN_Fem_Sing
serão ser_AUX_Fin_Plur
exped exped_NOUN_Masc_Sing
… …
