RT rt_NOUN_Masc_Sing
@julianopsol twitterhandle_ADJ_Masc_Sing
: :
Na em_o_ADP_DET_Fem_Sing
última último_ADJ_Fem_Sing
semana semana_NOUN_Fem_Sing
: :
- -
Escândalo escândalo_NOUN_Masc_Sing
 "  "
pintou pintar_VERB_Fin_Sing
um um_DET_Masc_Sing
clima clima_NOUN_Masc_Sing
 "  "
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
com com_ADP
venezuelanas venezuelano_ADJ_Fem_Plur
de de_ADP
14 14_NUM
anos ano_NOUN_Masc_Plur
; ;
- -
Projeto projeto_PROPN_Masc_Sing
de de_ADP
Guedes guedes_PROPN_Sing
de de_ADP
congela congelar_VERB_Fin_Sing
… …
