RT rt_PROPN_Fem_Sing
@jorge_manaus twitterhandle_NOUN_Masc_Plur
: :
Não não_ADV
vamos ir_AUX_Fin_Plur
repetir repetir_VERB_Inf
os o_DET_Masc_Plur
erros erro_NOUN_Masc_Plur
dos de_o_ADP_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
, ,
dos de_o_ADP_DET_Masc_Plur
chilenos chileno_NOUN_Masc_Plur
, ,
dos de_o_ADP_DET_Masc_Plur
argentinos argentino_ADJ_Masc_Plur
e e_CCONJ
nem nem_ADV
dos de_o_ADP_DET_Masc_Plur
colombianos colombiano_NOUN_Masc_Plur
. .
Será ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
em em_ADP
primei primei_NOUN_Masc_Sing
… …
