RT rt_PROPN_Masc_Sing
@jornaldarecord twitterhandle_PROPN_Sing
: :
Os o_DET_Masc_Plur
Estados estados_PROPN_Masc_Plur
Unidos unidos_PROPN_Sing
deportaram deportar_VERB_Fin_Plur
centenas centena_NOUN_Fem_Plur
de de_ADP
imigrantes imigrante_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
, ,
impedidos impedido_ADJ_Masc_Plur
de de_ADP
entrar entrar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
right_arrow_e right_arrow_e
Assista assista_PROPN_Sing
agora agora_ADV
ao a_o_ADP_DET_Masc_Sing
HASHTAG hashtag_PROPN_Masc_Sing
#jor_h #jor_h
… …
