@VEJA twitterhandle_VERB_Fin_Sing
Cruz cruz_PROPN_Masc_Sing
credo credo_NOUN_Masc_Sing
, ,
o o_DET_Masc_Sing
regime regime_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
o o_DET_Masc_Sing
pt pt_NOUN_Masc_Sing
quer querer_VERB_Fin_Sing
e e_CCONJ
aplaude aplaudir_VERB_Fin_Sing
eh eh_NOUN_Masc_Sing
o o_DET_Masc_Sing
chinês chinês_ADJ_Masc_Sing
, ,
venezuelano venezuelano_ADJ_Masc_Sing
e e_CCONJ
cubano cubano_ADJ_Masc_Sing
. .
Vou ir_AUX_Fin_Sing
votar votar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
Tarcisio tarcisio_PROPN_Masc_Sing
que que_SCONJ
eh eh_PROPN_Masc_Sing
… …
