RT rt_PROPN_Masc_Sing
@RevistaISTOE twitterhandle_VERB_Fin_Sing
: :
Quem quem_PRON_Rel_Sing
pisca piscar_VERB_Fin_Sing
primeiro primeiro_ADV
Quem quem_PRON_Int_Sing
mais mais_ADV
sofre sofrer_VERB_Fin_Sing
com com_ADP
o o_DET_Masc_Sing
impasse impasse_NOUN_Masc_Sing
entre entre_ADP
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
Guaidó guaidó_PROPN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
Maduro maduro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
. .
Ape ape_PROPN_Masc_Sing
… …
