RT rt_PROPN_Masc_Sing
@Ca_Moredi twitterhandle_VERB_Fin_Sing
: :
Ilegal ilegal_ADJ_Fem_Sing
 "  "
é ser_AUX_Fin_Sing
contratar contratar_VERB_Inf
uma um_DET_Fem_Sing
empresa empresa_NOUN_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
para para_ADP
as o_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
. .
 "  "
Constrangimento constrangimento_NOUN_Masc_Sing
 "  "
é ser_AUX_Fin_Sing
ter ter_AUX_Inf
Dias dias_PROPN_Sing
Toffoli toffoli_PROPN_Sing
na em_o_ADP_DET_Fem_Sing
Corte corte_NOUN_Fem_Sing
https https_ADJ_Fem_Sing
: :
/ /
… …
