RT rt_PROPN_Masc_Sing
@FlavioBolsonaro twitterhandle_VERB_Fin_Sing
: :
O o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
fez fazer_VERB_Fin_Sing
o o_DET_Masc_Sing
M m_NOUN_Masc_Sing
de de_ADP
Maduro maduro_PROPN_Masc_Sing
e e_CCONJ
nunca nunca_ADV
mais mais_ADV
o o_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
deixou deixar_VERB_Fin_Sing
o o_DET_Masc_Sing
poder poder_NOUN_Masc_Sing
! !
Hoje hoje_ADV
, ,
os o_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
comem comer_VERB_Fin_Plur
comida comida_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
li li_NOUN_Masc_Sing
… …
