@jandira_feghali twitterhandle_VERB_Fin_Sing
Golpe golpe_NOUN_Masc_Sing
foi ser_AUX_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
Maduro maduro_PROPN_Masc_Sing
deu dar_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
. .
O o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
importa importar_VERB_Fin_Sing
agora agora_ADV
é ser_AUX_Fin_Sing
que que_SCONJ
os o_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
não não_ADV
o o_PRON_Masc_Sing
querem querer_VERB_Fin_Plur
ma ma_NOUN_Fem_Sing
… …
