RT rt_PROPN_Masc_Sing
@mariavaltenice twitterhandle_VERB_Fin_Sing
: :
E e_CCONJ
ACABOU acabar_VERB_Fin_Sing
O o_DET_Masc_Sing
MISTÉRIO mistério_PROPN_Masc_Sing
! !
Marinha marinha_PROPN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
e e_CCONJ
UFRJ ufrj_PROPN_Masc_Sing
confirmam confirmar_VERB_Fin_Plur
: :
O o_DET_Masc_Sing
óleo óleo_NOUN_Masc_Sing
/ /
petróleo petróleo_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
100 100_NUM
% %
VENEZUELANO venezuelano_PROPN_Masc_Sing
e e_CCONJ
foi ser_AUX_Fin_Sing
sim sim_ADV
CRIMINAL criminal_ADJ_Masc_Sing
! !
A o_DET_Fem_Sing
Marin marin_PROPN_Fem_Sing
… …
